word	x	y	nearest
todays	75.34250706626217	61.071768510090195	0.966
pardon	74.53754380945735	-18.784762184013342	0.808
doubts	54.18648004567678	-8.73807433561639	0.933
dynamic	33.27666616271532	40.74371584453907	0.966
ossoff	48.11515002702762	14.599671607617188	0.977
obstruction	-50.13025873785201	18.886531592906636	0.969
protest	-6.179994071174818	-0.5654347634251012	0.984
controversial	26.66560143383509	56.63046199438422	0.979
ridiculous	-34.36481944421237	-55.75573302420371	0.970
captain	-8.841858205182909	87.87569195752155	0.980
hate	-78.20117041803051	-45.859122952267214	0.934
marcorubio	-52.68536262333049	-15.537561194785706	0.982
increase	-7.867402474930188	-85.65745786323589	0.959
votes	-41.78576327132253	-83.95623842653892	0.956
voter	-9.923484016825315	-74.44447884471661	0.985
founder	40.73445330452675	71.64042457195362	0.982
schlonged	-57.42448734725549	29.877892855587305	0.979
electricity	-8.061499269474714	80.69819488450416	0.985
tweet	-100.92694499187137	-29.131775576637427	0.925
edward	23.596923241261173	39.16474440869257	0.971
voted	-14.58762418260731	-58.7787556844241	0.892
under	-21.672221949565895	-89.51537743409494	0.916
sorry	-60.33757559005356	-32.33271284333815	0.968
pride	7.335507659286429	13.622508250078566	0.956
worth	-41.939014035448054	-48.79198526271017	0.969
placed	-49.52279808298716	49.671303246674775	0.986
risk	-5.65187111365183	-0.9566312782783151	0.978
retail	39.12035612278331	73.04976028851215	0.982
rise	-15.979243755065182	-23.886541084141676	0.975
shoot	-62.07843822385592	18.923286584822154	0.958
stolen	-29.638009130063118	65.27272398616094	0.964
jack	-0.8720861866272531	-29.307431580558358	0.986
billmaher	-54.6318856208903	-43.26819216514627	0.959
bringing	13.44584101706101	9.875132747665551	0.937
courageous	-26.331619091344745	59.212498116502566	0.978
vast	1.4649916663042537	7.582538626669936	0.967
school	-2.4236032460232177	-79.21045903752882	0.980
presidency	-32.98276574209542	-27.85628199382671	0.937
waldo	-13.245770607129227	68.96130877115526	0.993
skills	-38.88672826025043	-30.39995400006218	0.976
companies	-53.88266351985934	-90.41322836865912	0.947
solution	-52.158988294449344	-25.82084501563779	0.873
red	24.53090416266612	-73.38012292170107	0.978
murders	61.001088054781135	12.594041188564116	0.978
heading	22.0940979936102	-83.12156976644445	0.926
triumph	41.598791736241125	26.538933578235486	0.930
smxtty_	78.54887076469117	-32.24203142051927	0.883
enjoy	38.036082564655906	-37.9961498841379	0.923
jamaica	39.51275346057512	71.81101538744068	0.982
force	-14.5854960926118	-83.82610547972388	0.951
leaders	-54.05700591697651	-86.58111412258752	0.946
tired	-58.15171543761754	-1.6167052449243047	0.924
welfare	-32.39912140164615	5.584403312748798	0.982
japanese	61.52455144719647	67.01023697481871	0.981
elegant	-37.46708623175894	80.25680515827216	0.983
likely	-26.176238948291502	8.484499475022483	0.976
writing	-42.92471031741129	-2.4209864579743168	0.967
estimated	104.51472323121492	3.0187181356063473	0.931
shining	5.4791337679131304	55.642895416856014	0.979
even	-74.37218170182791	-58.087622773794564	0.846
established	54.523052889607335	39.933176255922056	0.985
battleground	92.52296641180659	-25.979489258554956	0.876
hide	31.066398005603457	28.731769292940783	0.949
solemn	89.04013503845721	30.99651788959606	0.890
saved	-16.014027819247804	-33.0053720692395	0.970
tirelessly	80.94945858204287	-28.722249389345805	0.810
selected	83.53691665505406	58.00208436812698	0.965
liberty	17.50557822427853	-49.07313495399912	0.989
eventually	11.944447734815675	32.5740449418311	0.935
endorse	-61.631048569359336	10.147685610992784	0.952
new	38.74787297078321	-74.07628760799587	0.643
poorly	-37.55829916617824	-47.428520306624414	0.969
ever	-70.51868947266976	-71.31086433611057	0.815
